"Identity","Name","Description","Identity e-mail","Phonenumber","Keywords","Adres","PC","Gemeente","Taal","Actief","Nieuwe identity"
2033,"GARAGE BEERLANDT","Hyundai GARAGE BEERLANDT info@beerlandt.deinze.hyundai.be","info@beerlandt.deinze.hyundai.be","09/381.65.65","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, GARAGE BEERLANDT, DEINZE, Emiel Clauslaan 45, 9800","Emiel Clauslaan 45","9800","DEINZE","NL",1,"service@beerlandt.hyundai.be"
2102,"GARAGE EECKHOUT & TERMOTE","Hyundai GARAGE EECKHOUT & TERMOTE info@beerlandt.oudenaarde.hyundai.be","info@beerlandt.oudenaarde.hyundai.be","055/49.64.95","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, GARAGE EECKHOUT & TERMOTE, OUDENAARDE, Kerzelare 92b, 9700","Kerzelare 92b","9700","OUDENAARDE","NL",1,"service@eeckhouttermote.hyundai.be"
9313,"BENTOM MOTORS","Hyundai BENTOM MOTORS info@bentom.hyundai.be","info@bentom.hyundai.be","03/325.67.49","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, BENTOM MOTORS, DEURNE, Gallifortlei 225-227, 2100","Gallifortlei 225-227","2100","DEURNE","NL",0,"please delete"
2077,"GARAGE BEURMS LUDWIG","Hyundai GARAGE BEURMS LUDWIG info@beurms.hyundai.be","info@beurms.hyundai.be","09/369.99.80","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, GARAGE BEURMS LUDWIG, WETTEREN, Brusselsesteenweg 281, 9230","Brusselsesteenweg 281","9230","WETTEREN","NL",1,"service@beurms.hyundai.be"
2108,"BRETON","Hyundai BRETON info@breton.hyundai.be","info@breton.hyundai.be","063/57.78.94","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, BRETON, Virton, Val d'Away 11, 6760","Val d'Away 11",6760,"Virton","F",1,"service@breton.hyundai.be"
9323,"GARAGE BROECKX","Hyundai GARAGE BROECKX info@broeckx.hyundai.be","info@broeckx.hyundai.be","089/38.24.17","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, GARAGE BROECKX, GENK, Marcel Habetslaan 40, 3600","Marcel Habetslaan 40","3600","GENK","NL",1,"service@broeckx.hyundai.be"
9163,"GARAGE BROUWERS","Hyundai GARAGE BROUWERS info@brouwers.hyundai.be","info@brouwers.hyundai.be","015/55.27.36","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, GARAGE BROUWERS, ST. KATELIJNE WAVER, Mechelsesteenweg 227, 2860","Mechelsesteenweg 227","2860","ST. KATELIJNE WAVER","NL",1,"service@brouwers.hyundai.be"
9604,"MERCIER BRUNO","Hyundai MERCIER BRUNO info@mercierbruno.hyundai.be","info@mercierbruno.hyundai.be","069/22.51.59","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, MERCIER BRUNO, TOURNAI, Chaussée de Bruxelles 65, 7500","Chaussée de Bruxelles 65","7500","TOURNAI","F",1,"service@brunomercier.hyundai.be"
2065,"GARAGE BUTTIENS","Hyundai GARAGE BUTTIENS info@buttiens.hyundai.be","info@buttiens.hyundai.be","016/82.23.00","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, GARAGE BUTTIENS, TIENEN, Oplintersesteenweg 374, 3300","Oplintersesteenweg 374","3300","TIENEN","NL",1,"service@buttiens.hyundai.be"
2021,"SUD MOTOR","Hyundai SUD MOTOR info@sudmotor.namur.hyundai.be","info@sudmotor.namur.hyundai.be","081/21.30.42","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, SUD MOTOR, CHAMPION, Chaussée de Louvain 600, 5020","Chaussée de Louvain 600","5020","CHAMPION","F",1,"service.namur@sudmotor.hyundai.be"
8095,"CHAMPENOIS","Hyundai CHAMPENOIS info@champenois.hyundai.be","info@champenois.hyundai.be","081/41.27.64","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, CHAMPENOIS, MONT-GODINNE, Rue Fond Delvaux 8, 5530","Rue Fond Delvaux 8","5530","MONT-GODINNE","F",1,"service@champenois.hyundai.be"
9914,"CORDISCO FRERES","Hyundai CORDISCO FRERES info@cordisco.hyundai.be","info@cordisco.hyundai.be","064/36.87.97","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, CORDISCO FRERES, LEVAL-TRAHEGNIES, Route de Charleroi 182, 7134","Route de Charleroi 182","7134","LEVAL-TRAHEGNIES","F",1,"service@cordisco.hyundai.be"
9142,"COURTENS","Hyundai COURTENS info@courtens.hyundai.be","info@courtens.hyundai.be","02/687.43.49","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, COURTENS, OVERIJSE Waversesteenweg 117, 3090","Waversesteenweg 117","3090","OVERIJSE","NL",1,"service@courtens.hyundai.be"
2048,"DAMS CARS","Hyundai DAMS CARS info@damscars.hyundai.be","info@damscars.hyundai.be","014/58.87.23","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, DAMS CARS, GEEL, Antwerpseweg, 81, 2440","Antwerpseweg, 81","2440","GEEL","NL",1,"service@dams.hyundai.be"
2061,"DAPARE ET FILS","Hyundai DAPARE ET FILS info@dapare.hyundai.be","info@dapare.hyundai.be","060/34.57.03","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, DAPARE ET FILS, COUVIN, Chemin du Try Châlons 31, 5660","Chemin du Try Châlons 31","5660","COUVIN","F",1,"service@dapare.hyundai.be"
2088,"D.D.S. MOTORS","Hyundai D.D.S. MOTORS info@ddsmotors.hyundai.be","info@ddsmotors.hyundai.be","050/39.07.10","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, D.D.S. MOTORS, OOSTKAMP, Gaston Roelandtsstraat 48, 8200","Gaston Roelandtsstraat 48","8200","OOSTKAMP","NL",1,"service.oostkamp@bruggemotors.hyundai.be"
2087,"AUTOBEDRIJF DE JONG","Hyundai AUTOBEDRIJF DE JONG info@dejong.hyundai.be","info@dejong.hyundai.be","014/51.13.11","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, AUTOBEDRIJF DE JONG, GROBBENDONK, Herentalsesteenweg 91, 2280","Herentalsesteenweg 91","2280","GROBBENDONK","NL",1,"service@dejong.hyundai.be"
9901,"DE LAET","Hyundai DE LAET info@delaet.hyundai.be","info@delaet.hyundai.be","03/888.00.49","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, DE LAET, BOOM, 's Herenbaan 343, 2850","'s Herenbaan 343","2850","BOOM","NL",1,"service@delaet.hyundai.be"
9602,"DEMELENNE","Hyundai DEMELENNE info@demelenne.hyundai.be","info@demelenne.hyundai.be","02/652.00.01","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, DEMELENNE, RIXENSART, Avenue Fr. Roosevelt 41, 1330","Avenue Fr. Roosevelt 41","1330","RIXENSART","F",0,"please delete"
2090,"PAUL & TOM DESCAMPS","Hyundai PAUL & TOM DESCAMPS info@descamps.hyundai.be","info@descamps.hyundai.be","056/51.18.87","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, PAUL & TOM DESCAMPS, MENEN, Bruggestraat 568, 8930","Bruggestraat 568","8930","MENEN","NL",1,"service@descamps.hyundai.be"
7059,"GARAGE DESMEDT","Hyundai GARAGE DESMEDT info@desmedt.hyundai.be","info@desmedt.hyundai.be","052/33.22.69","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, GARAGE DESMEDT, MALDEREN, Hoefsmidstraat 21, 1840","Hoefsmidstraat 21","1840","MALDEREN","NL",1,"service@desmedt.hyundai.be"
9401,"DEVISCH","Hyundai DEVISCH info@devisch.hyundai.be","info@devisch.hyundai.be","059/29.92.38","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, DEVISCH, EERNEGEM-ICHTEGEM, Oostendesteenweg 208, 8480","Oostendesteenweg 208","8480","EERNEGEM-ICHTEGEM","NL",1,"service@devisch.hyundai.be"
2023,"DI NITTO","Hyundai DI NITTO info@dinitto.hyundai.be","info@dinitto.hyundai.be","089/79.02.60","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, DI NITTO, DILSEN, Rijksweg 147, 3650","Rijksweg 147","3650","DILSEN","NL",1,"service@dinitto.hyundai.be"
2083,"DMS MOTORS","Hyundai DMS MOTORS info@dmsmotors.hyundai.be","info@dmsmotors.hyundai.be","04/285.69.68","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, DMS MOTORS, SERAING, Rue Biefnot 7, 4100","Rue Biefnot 7","4100","SERAING","F",1,"service@dmsmotors.hyundai.be"
9813,"ECONOMIC AUTO NEW SERVICES","Hyundai ECONOMIC AUTO NEW SERVICES info@economicauto.hyundai.be","info@economicauto.hyundai.be","02/216.13.86","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, ECONOMIC AUTO NEW SERVICES, BRUXELLES (Evere), Chaussée de Haecht 847-849, 1140","Chaussée de Haecht 847-849","1140","BRUXELLES (Evere)","F",1,"service@economicauto.hyundai.be"
9205,"EURO-AUTO","Hyundai EURO-AUTO info@euroauto.hyundai.lu","info@euroauto.hyundai.lu","00352/74.80.90","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, EURO-AUTO, MERTERT-WASSERBILLIG, Route de Wasserbillig 36, L-6686","Route de Wasserbillig 36","L-6686","MERTERT-WASSERBILLIG","F",1,"service@euroauto.hyundai.lu"
9807,"AUTO-FERNANDEZ","Hyundai AUTO-FERNANDEZ info@auto-fernandez.hyundai.be","info@auto-fernandez.hyundai.be","02/523.44.35","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, AUTO-FERNANDEZ, BRUXELLES (Anderlecht), Rue Docteur Kuborn 8 (gare du midi), 1070","Rue Docteur Kuborn 8 (gare du midi)","1070","BRUXELLES (Anderlecht)","F",1,"service@auto-fernandez.hyundai.be"
9918,"FOCKE","Hyundai FOCKE info@focke.hyundai.be","info@focke.hyundai.be","050/35.56.36","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, FOCKE, BRUGGE-SINT-KRUIS, Moerkerkesteenweg 540, 8310","Moerkerkesteenweg 540","8310","BRUGGE-SINT-KRUIS","NL",1,"service.st-kruis@bruggemotors.hyundai.be"
9148,"GARAGE FOULON","Hyundai GARAGE FOULON info@foulon.hyundai.be","info@foulon.hyundai.be","051/21.13.71","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, GARAGE FOULON, ROESELARE-BEITEM, Meensesteenweg 674, 8800","Meensesteenweg 674","8800","ROESELARE-BEITEM","NL",1,"service@foulon.hyundai.be"
2062,"GAMME","Hyundai GAMME info@gamme.hyundai.be","info@gamme.hyundai.be","057/20.01.05","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, GAMME, IEPER, Kruiskalsijdestraat 4, 8900","Kruiskalsijdestraat 4","8900","IEPER","NL",1,"service@gamme.hyundai.be"
2063,"GARAGE GANGAI","Hyundai GARAGE GANGAI info@gangai.hyundai.be","info@gangai.hyundai.be","065/31.28.94","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, GARAGE GANGAI, MONS, Chaussée de Binche 50a, 7000","Chaussée de Binche 50a","7000","MONS","F",1,"service@gangai.hyundai.be"
2012,"GEERTS","Hyundai GEERTS info@geerts.hyundai.be","info@geerts.hyundai.be","016/56.66.49","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, GEERTS, AARSCHOT, Liersesteenweg 140, 3200","Liersesteenweg 140","3200","AARSCHOT","NL",1,"service@geerts.hyundai.be"
2098,"GARAGE HAYEZ","Hyundai GARAGE HAYEZ info@hayez.hyundai.be","info@hayez.hyundai.be","068/28.27.29","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, GARAGE HAYEZ, ATH, Rue André Delzenne 5, 7800","Rue André Delzenne 5","7800","ATH","F",1,"service@hayez.hyundai.be"
2120,"GARAGE A.HOSTEN-DURNEZ","Hyundai GARAGE A.HOSTEN-DURNEZ info@hosten-durnez.hyundai.be","info@hosten-durnez.hyundai.be","051/50.00.63","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, GARAGE A.HOSTEN-DURNEZ, CHARLEROI - DAMPREMY, Woumenweg 54, ","Woumenweg 54",8600,"DIKSMUIDE","NL",1,"service@hosten-durnez.hyundai.be"
2017,"H&S MOTORS de Schaetzen","Hyundai H&S MOTORS de Schaetzen info@h-smotors.hyundai.be","info@h-smotors.hyundai.be","011/28.88.33","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, H&S MOTORS de Schaetzen, HASSELT, St.-Truidersteenweg 393, 3500","St.-Truidersteenweg 393","3500","HASSELT","NL",1,"service@h-smotors.hyundai.be"
2119,"AUTOPOLIS","Hyundai GARAGE AUTOPOLIS info@","info@autopolis.lu","00352/43.96.961","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, GARAGE AUTOPLOIS, BERTRANGE, Zone d'activité Bourmicht , L-8070","Zone d'activité Bourmicht ","L-8070","BERTRANGE","F",1,"service@autopolis.hyundai.lu"
2089,"INTERNATIONAL CAR","Hyundai INTERNATIONAL CAR info@internationalcar.waterloo.hyundai.be","info@internationalcar.waterloo.hyundai.be","02/357.81.20","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, INTERNATIONAL CAR, WATERLOO, Chaussée de Bruxelles 463, 1410","Chaussée de Bruxelles 463","1410","WATERLOO","F",0,"please delete"
2096,"INTERNATIONAL CAR","Hyundai INTERNATIONAL CAR info@internationalcar.wavre.hyundai.be","info@internationalcar.wavre.hyundai.be","010/81.83.50","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, INTERNATIONAL CAR, WAVRE, Chaussée de Louvain 500 A, 1300","Chaussée de Louvain 500 A","1300","WAVRE","F",0,"please delete"
9605,"JOHNEN AUTOMOBILE","Hyundai JOHNEN AUTOMOBILE info@johnen.hyundai.be","info@johnen.hyundai.be","087/59.66.66","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, JOHNEN AUTOMOBILE, EUPEN, Route de Verviers 99-101, 4700","Route de Verviers 99-101","4700","EUPEN","F",1,"service@johnen.hyundai.be"
7077,"GARAGE KAYSER-GUIRSCH","Hyundai GARAGE KAYSER-GUIRSCH kayser.wiltz.lu@deal-net.com","kayser.wiltz.lu@deal-net.com","00352/95.80.67","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, GARAGE KAYSER-GUIRSCH, WILTZ, Rue Michel Thilges 38, L-9573","Rue Michel Thilges 38","L-9573","WILTZ","F",0,"please delete"
2094,"LA MEDITERRANEA","Hyundai LA MEDITERRANEA info@lamediterranea.hyundai.be","info@lamediterranea.hyundai.be","064/43.24.35","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, LA MEDITERRANEA, MANAGE, Chaussée de Mons 45 A/2, 7170","Chaussée de Mons 45 A/2","7170","MANAGE","F",0,"please delete"
2035,"GARAGE LAUWERS PATRICK","Hyundai GARAGE LAUWERS PATRICK info@lauwers.hyundai.be","info@lauwers.hyundai.be","02/251.94.36","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, GARAGE LAUWERS PATRICK, ZEMST (Eppegem), Brusselsesteenweg 497, 1980","Brusselsesteenweg 497","1980","ZEMST (Eppegem)","NL",1,"service@lauwers.hyundai.be"
2032,"GARAGE ROBERT LEEMANS","Hyundai GARAGE ROBERT LEEMANS info@leemans.hyundai.be","info@leemans.hyundai.be","03/489.24.72","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, GARAGE ROBERT LEEMANS, LIER, Mallekotstraat 75, 2500","Mallekotstraat 75","2500","LIER","NL",1,"service@leemans.hyundai.be"
9143,"LIGNY MOTORS","Hyundai LIGNY MOTORS info@lignymotors.hyundai.be","info@lignymotors.hyundai.be","071/81.65.09","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, LIGNY MOTORS, LIGNY, Chaussée de Charleroi 222, 5140","Chaussée de Charleroi 222","5140","LIGNY","F",0,"please delete"
2040,"LOKERS AUTOBEDRIJF","Hyundai LOKERS AUTOBEDRIJF info@lokersautobedrijf.hyundai.be","info@lokersautobedrijf.hyundai.be","09/348.35.88","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, LOKERS AUTOBEDRIJF, LOKEREN, Gentsesteenweg 157, 9160","Gentsesteenweg 157","9160","LOKEREN","NL",1,"service@lokersautobedrijf.hyundai.be"
2064,"GARAGE LOVA","Hyundai GARAGE LOVA info@lova.hyundai.be","info@lova.hyundai.be","011/54.65.25","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, GARAGE LOVA, LOMMEL, Buitensingel 69, 3920","Buitensingel 69","3920","LOMMEL","NL",1,"service@lova.hyundai.be"
2091,"MOORKENS ANTWERPEN - Berchem","Hyundai MOORKENS ANTWERPEN - Berchem info@moorkensantwerpen.hyundai.be","info@moorkensantwerpen.hyundai.be","03/449.71.80","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, MOORKENS ANTWERPEN - Berchem, BERCHEM (ANTWERPEN), Grote Steenweg 571, 2600","Grote Steenweg 571","2600","BERCHEM (ANTWERPEN)","NL",1,"service@moorkensantwerpen.hyundai.be"
2092,"MOORKENS ANTWERPEN - Brasschaat","Hyundai MOORKENS ANTWERPEN - Brasschaat info@moorkensbrasschaat.hyundai.be","info@moorkensbrasschaat.hyundai.be","03/641.91.40","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, MOORKENS ANTWERPEN - Brasschaat, BRASSCHAAT, Kapelsesteenweg 76, 2930","Kapelsesteenweg 76","2930","BRASSCHAAT","NL",1,"service@moorkensbrasschaat.hyundai.be"
2093,"MOORKENS ANTWERPEN - Kontich","Hyundai MOORKENS ANTWERPEN - Kontich info@moorkenskontich.hyundai.be","info@moorkenskontich.hyundai.be","03/457.35.35","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, MOORKENS ANTWERPEN - Kontich, KONTICH, Antwerpsesteenweg 116, 2550","Antwerpsesteenweg 116","2550","KONTICH","NL",1,"service@moorkenskontich.hyundai.be"
2100,"MOORKENS ANTWERPEN - Deurne","Hyundai MOORKENS ANTWERPEN - Deurne info@moorkensdeurne.hyundai.be","info@moorkensdeurne.hyundai.be","03/360.50.81","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, MOORKENS ANTWERPEN - Deurne, DEURNE, Bisschoppenhoflaan 515, 2100","Bisschoppenhoflaan 515","2100","DEURNE","NL",1,"service@moorkensdeurne.hyundai.be"
2111,"GSL CHARLEROI","Hyundai GSL CHARLEROI info@gslchareroi.hyundai.be","info@gslcharleroi.hyundai.be","071/32.23.70","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, MOORKENS CHARLEROI, CHARLEROI-DAMPREMY, Chaussée de Bruxelles 134, 6020","Chaussée de Bruxelles 134","6020","CHARLEROI-DAMPREMY","F",1,"service.charleroi@gsl.hyundai.be"
2024,"MOORKENS BRUSSELS WEST","Hyundai MOORKENS BRUSSELS WEST info@moorkensbrusselswest.hyundai.be","info@moorkensbrusselswest.hyundai.be","02/410.70.90","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, MOORKENS BRUSSELS WEST, GROOT-BIJGAARDEN, Pastoor Cooremansstraat 1, 1702","Pastoor Cooremansstraat 1","1702","GROOT-BIJGAARDEN","NL",1,"service@moorkensbrusselswest.hyundai.be"
2121,"MOORKENS MECHELEN","Hyundai MOORKENS MECHELEN info@moorkensmechelen.hyundai.be","info@moorkensmechelen.hyundai.be","015/55.60.71","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, MOORKENS MECHELEN, MECHELEN, Antwerpsesteenweg 273, 2800","Antwerpsesteenweg 273",2800,"MECHELEN","NL",1,"service@moorkenmechelen.hyundai.be"
2112,"AUTOMEISER","Hyundai AUTOMEISER info@automeiser.hyundai.be","info@automeiser.hyundai.be","02/735.41.40","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, Chaussée de Louvain 542, SCHAERBEEK, , 1030","Chaussée de Louvain 542",1030,"SCHAERBEEK","F",1,"service@automeiser.hyundai.be"
2045,"HALLE MOTORS","Hyundai HALLE MOTORS info@hallemotors.hyundai.be","info@hallemotors.hyundai.be","02/361.08.72","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, HALLE MOTORS, HALLE, Brusselsesteenweg, 480, 1500","Brusselsesteenweg, 480","1500","HALLE","NL",1," @sterckxmotors.hyundai.be"
2084,"MACQUOI & Zn","Hyundai MACQUOI & Zn info@macquoi.laakdal.hyundai.be","info@macquoi.laakdal.hyundai.be","013/66.13.25","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, MACQUOI & Zn, VORST-LAAKDAL, Geelsebaan 61, 2430","Geelsebaan 61","2430","VORST-LAAKDAL","NL",1,"service@macquoi.hyundai.be"
9509,"MACQUOI","Hyundai MACQUOI info@macquoi.diest.hyundai.be","info@macquoi.diest.hyundai.be","013/33.47.36","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, MACQUOI, DIEST, Leuvensesteenweg 137, 3290","Leuvensesteenweg 137","3290","DIEST","NL",1,"service@macquoi.hyundai.be"
9145,"MARO","Hyundai MARO info@maro.hyundai.be","info@maro.hyundai.be","03/776.60.47","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, MARO, SINT-NIKLAAS, Grote Baan 40, 9100","Grote Baan 40","9100","SINT-NIKLAAS","NL",1,"service@garagemaro.hyundai.be"
9303,"M. J. MOTORS","Hyundai M. J. MOTORS info@mjmotors.hyundai.be","info@mjmotors.hyundai.be","065/34.88.78","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, M. J. MOTORS, CUESMES, Rue de la Poire d'Or 7, 7033","Rue de la Poire d'Or 7","7033","CUESMES","F",1,"service@mjmotors.hyundai.be"
2070,"M.C.M.","Hyundai M.C.M. info@mcm.hyundai.lu","info@mcm.hyundai.lu","00352/81.22.55.1","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, M.C.M., ERPELDANGE-ETTELBRUCK Portes des Ardennes 2, L-9145","Portes des Ardennes 2","L-9145","ERPELDANGE-ETTELBRUCK","F",1,"service.erpeldange@mcm.hyundai.lu"
2085,"M.CM. MERSCH","Hyundai M.C.M. MERSCH info@mcmmersch.hyundai.lu","info@mcmmersch.hyundai.lu","00/352/32.87.55.56","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, M.C.M. MERSCH, MERSCH, Rue de Colmar-Berg 63, L-7525","Rue de Colmar-Berg 63","L-7525","MERSCH","F",1,"service.mersch@mcm.hyundai.lu"
2097,"MERINSKY","Hyundai MERINSKY info@merinsky.hyundai.be","info@merinsky.hyundai.be","011/67.42.90","Hyundai Belux, Hyundai, Garage, Erkende Hersteller, Réparateur Agréé, MERINSKY, SINT-TRUIDEN Lichtenberglaan, 2002-2012, 3800","Lichtenberglaan, 2002-2012","3800","SINT-TRUIDEN","NL",1,"service@merinsky.hyundai.be"
